	count_strength	count_degree	log_count_strength	qa_strength
57	354.0	19.0	38.92228344060214	12.068192
58	267.0	16.0	26.395296022675133	11.876305
59	422.0	17.0	40.315318099637906	12.797136000000002
60	586.0	22.0	43.280717430130444	12.875997
61	394.0	26.0	50.648035459907504	14.500105
62	916.0	36.0	71.82170707753257	25.482855999999998
63	894.0	20.0	47.21518574478101	12.041562
64	77.0	13.0	17.359207002233212	8.101192
65	108.0	12.0	19.878420965520277	6.644163000000001
66	427.0	6.0	15.168951094213087	4.714623
67	436.0	8.0	19.498861727747954	5.76809
68	842.0	20.0	47.27350650981522	9.547035999999999
69	1053.0	16.0	35.75730688383692	8.345009
70	167.0	13.0	17.35820750190013	8.669093
71	260.0	12.0	11.536485729379242	9.376679000000001
72	455.0	27.0	42.78669619738173	19.921271999999995
73	234.0	11.0	13.048191403202521	9.492582
74	51.0	14.0	12.460900893110876	10.306332000000001
75	1.0	1.0	0.0	0.827125
76	1030.0	53.0	100.9007109145002	45.542824
77	585.0	34.0	63.897560102016456	27.824114
78	2401.0	56.0	162.52065503574516	52.421745
79	568.0	39.0	68.5021617910964	34.290458
80	434.0	37.0	54.977419684924236	32.626055
81	23.0	6.0	4.836281906951478	5.628813
82	634.0	45.0	75.94182928096183	39.23451
83	464.0	33.0	53.98755193652583	25.374839
84	783.0	40.0	85.19357620918379	36.8712
85	2262.0	44.0	108.63872493065112	40.816818
86	1490.0	52.0	117.10192055178175	44.927497
87	656.0	38.0	75.32275463087727	32.881617
88	109.0	23.0	21.92800954405043	21.670234
89	302.0	25.0	51.01840227408404	22.612112000000003
90	368.0	47.0	62.68072091288509	42.957227
91	498.0	35.0	67.9312921400944	33.051638000000004
92	464.0	15.0	28.94739242862388	10.782869999999999
93	204.0	15.0	28.06204016557288	8.869864
94	2190.0	56.0	142.7586242971352	51.635962000000006
95	87.0	25.0	21.13509783333678	21.340564999999998
96	1118.0	47.0	100.10068016479744	42.64462999999999
97	925.0	44.0	87.71177954480774	41.390282
98	1883.0	43.0	127.39827402802976	41.249707
99	341.0	29.0	46.80659828334932	26.741284999999998
100	100.0	26.0	20.51478230057095	26.100037
101	249.0	28.0	45.12060859185098	25.841642
102	275.0	17.0	21.43934808652145	11.653611999999999
103	236.0	25.0	28.407179936576384	18.104995000000002
104	153.0	10.0	13.458607016470541	10.160743
105	79.0	13.0	17.02524908457871	12.491935
106	279.0	32.0	39.824402028680375	28.615204000000006
107	280.0	18.0	21.478869372439604	18.568486
108	112.0	7.0	13.002498175543622	3.0554249999999996
109	28.0	4.0	6.8416154764775925	1.963772
110	50.0	4.0	7.338888133838879	1.61369
111	36.0	2.0	3.5553480614894135	1.112884
112	0.0	0.0	0.0	0.0
